Generated_Prompt,Original_Question,Original_Answer
"[INST] I'm working on a simple script that involves CAS, jspring security check, redirection, etc.  I would like to use Kenneth Reitz's python requests because it's a great piece of work!  However, CAS requires getting validated via SSL so I have to get past that step first.  I don't know what Python requests is wanting?  Where is this SSL certificate suppose to reside?
Traceback (most recent call last):
  File ""./test.py"", line 24, in <module>
  response = requests.get(url1, headers=headers)
  File ""build/bdist.linux-x86_64/egg/requests/api.py"", line 52, in get
  File ""build/bdist.linux-x86_64/egg/requests/api.py"", line 40, in request
  File ""build/bdist.linux-x86_64/egg/requests/sessions.py"", line 209, in request 
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 624, in send
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 300, in _build_response
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 611, in send
requests.exceptions.SSLError: [Errno 1] _ssl.c:503: error:14090086:SSL routines:SSL3_GET_SERVER_CERTIFICATE:certificate verify failed

 [/INST] I have run into this problem myself. I have no idea why requests is failing like this, but I am assuming it is because the certificate is not being generated. I don't know why it is failing, but I have run into this with other certificates as well.
Traceback (/home/build/python/setup.py"", line 52, in _ssl_verify)
Traceback (/","I'm working on a simple script that involves CAS, jspring security check, redirection, etc.  I would like to use Kenneth Reitz's python requests because it's a great piece of work!  However, CAS requires getting validated via SSL so I have to get past that step first.  I don't know what Python requests is wanting?  Where is this SSL certificate suppose to reside?
Traceback (most recent call last):
  File ""./test.py"", line 24, in <module>
  response = requests.get(url1, headers=headers)
  File ""build/bdist.linux-x86_64/egg/requests/api.py"", line 52, in get
  File ""build/bdist.linux-x86_64/egg/requests/api.py"", line 40, in request
  File ""build/bdist.linux-x86_64/egg/requests/sessions.py"", line 209, in request 
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 624, in send
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 300, in _build_response
  File ""build/bdist.linux-x86_64/egg/requests/models.py"", line 611, in send
requests.exceptions.SSLError: [Errno 1] _ssl.c:503: error:14090086:SSL routines:SSL3_GET_SERVER_CERTIFICATE:certificate verify failed

","From requests documentation on SSL verification:

Requests can verify SSL certificates for HTTPS requests, just like a web browser. To check a hostâs SSL certificate, you can use the verify argument:

>>> requests.get('https://kennethreitz.com', verify=True)

If you don't want to verify your SSL certificate, make verify=False 
"
"[INST] I'm looking for a library in Python which will provide at and cron like functionality.
I'd quite like have a pure Python solution, rather than relying on tools installed on the box; this way I run on machines with no cron.
For those unfamiliar with cron: you can schedule tasks based upon an expression like: 
 0 2 * * 7 /usr/bin/run-backup # run the backups at 0200 on Every Sunday
 0 9-17/2 * * 1-5 /usr/bin/purge-temps # run the purge temps command, every 2 hours between 9am and 5pm on Mondays to Fridays.

The cron time expression syntax is less important, but I would like to have something with this sort of flexibility. 
If there isn't something that does this for me out-the-box, any suggestions for the building blocks to make something like this would be gratefully received.
Edit
I'm not interested in launching processes, just ""jobs"" also written in Python - python functions. By necessity I think this would be a different thread, but not in a different process.
To this end, I'm looking for the expressivity of the cron time expression, but in Python. 
Cron has been around for years, but I'm trying to be as portable as possible. I cannot rely on its presence.
 [/INST] I have written a cron entry for my linux install:
0 2 * 3 /usr/bin/run-backup # run the purge commands as * * * * 2
0 0 * * 3 /usr/bin/run-backup # run the purge commands as * * * * 2
0 1 * * * 3
0 2 * * * * 5
0 3 * * * 8 * * * * 8 * * * 13
0 5 * * * * 8 * * 13
out-of-the-box, 5 * 7 * 13

in Python * * * * * 8 * 5 /usr/bin/run-backup
1 5 * 5 * 8 *","I'm looking for a library in Python which will provide at and cron like functionality.
I'd quite like have a pure Python solution, rather than relying on tools installed on the box; this way I run on machines with no cron.
For those unfamiliar with cron: you can schedule tasks based upon an expression like: 
 0 2 * * 7 /usr/bin/run-backup # run the backups at 0200 on Every Sunday
 0 9-17/2 * * 1-5 /usr/bin/purge-temps # run the purge temps command, every 2 hours between 9am and 5pm on Mondays to Fridays.

The cron time expression syntax is less important, but I would like to have something with this sort of flexibility. 
If there isn't something that does this for me out-the-box, any suggestions for the building blocks to make something like this would be gratefully received.
Edit
I'm not interested in launching processes, just ""jobs"" also written in Python - python functions. By necessity I think this would be a different thread, but not in a different process.
To this end, I'm looking for the expressivity of the cron time expression, but in Python. 
Cron has been around for years, but I'm trying to be as portable as possible. I cannot rely on its presence.
","maybe this has come up only after the question was asked; I thought I just mention it for completeness sake: https://apscheduler.readthedocs.org/en/latest/
"
"[INST] How do I have a Python script that can accept user input (assuming this is possible) and how do I make it read in arguments if run from the command line?
 [/INST] I've had this problem before, when trying to use a filter on a Python script and a small bug comes up. 
How do I force the filter to pass a Python script (on the command line)?
e.g.:
from sys import get_small_filter
from sys import stdout
from sys import get_small_filter

e = get_small_filter(sys.argv[1])
from sys import argv[1]
from sys import get_small_filter
from sys import argv

from sys import get_small_filter
from sys import argv_filter
from sys import get_small_filter

def filter_all_filter(argv):
    #...
    from sys import argv
    return argv

  #...

from sys import get_small_filter
    #...

e = argv [1]

from sys import get_small_filter
#...

#  #
from sys import get_small_filter
#...

from sys import argv_filter
#...

  #...

the filter() is the filter part in this file.
  #...

  #....

from sys import argv_filter
#...

  #...

e = argv_filter
#...

from sys import argv_filter
#......

  #...

  #...

from sys import argv_filter
#......

  #...

from sys import argv_filter
#......

#......

  #

the filter() is the filter part in the argv_filter.
  #...

  #...

  #......

from argv import filter
sys.filter(argv)

  #...

from argv import filter_all_filter
#...

from sys import get_small_filter
#......

from argv import filter_all_filter
#......

  #...

from sys import argv_filter
# #","How do I have a Python script that can accept user input (assuming this is possible) and how do I make it read in arguments if run from the command line?
","raw_input is no longer available in Python 3.x.  But raw_input was renamed input, so the same functionality exists.
input_var = input(""Enter something: "")
print (""you entered "" + input_var) 

Documentation of the change
"
"[INST] Two options in setup.py develop and install are confusing me. According to this site, using develop creates a special link to site-packages directory.
People have suggested that I use python setup.py install for a fresh installation and python setup.py develop after any changes have been made to the setup file.
Can anyone shed some light on the usage of these commands?
 [/INST] python setup.py develop will create a site-packages directory and have a special command called. setup.py which will generate a fresh site-packages directory. 
e.g.
python setup.py install
(1,2,2,3,4,5,6,3,4,5,3,4,4,3,3,4,5,6,7)

and 
python setup.py develop
(4,4,3,4,5,6)

a site-packages directory
(1,4,4,5,7,4,4,3,3,4,5)


(1,4,6,4,5,4,3,4,4)

(4,4,5,6,4,4,3,4,5,3,4,7)

(1,4,6,4,5,4,7,8)
(1,4,6,7,4,4,4,5)

(4,4,5,6,7)

(1,4,5,6,4,7)
(4,4,5,4,5,4,6)

(4,4,5,6,7)

(2,4,5,6,4,4)

(4,4,5,4,7)
(4,4,5,7,4,7)

(1,4,5,6,7)

(4,4,5,4,7)
(4,4,5,7,7)
(4,4,5,7,4,7)

(4,4,5,7)
(4,4,5,7,7,4,3)
(4,4,5,7,7)
","Two options in setup.py develop and install are confusing me. According to this site, using develop creates a special link to site-packages directory.
People have suggested that I use python setup.py install for a fresh installation and python setup.py develop after any changes have been made to the setup file.
Can anyone shed some light on the usage of these commands?
","From the documentation. The develop will not install the package but it will create a .egg-link in the deployment directory back to the project source code directory. 
So it's like installing but instead of copying to the site-packages it adds a symbolic link (the .egg-link acts as a multiplatform symbolic link). 
That way you can edit the source code and see the changes directly without having to reinstall every time that you make a little change. This is useful when you are the developer of that project hence the name develop. If you are just installing someone else's package you should use install
"
"[INST] How do I concatenate two lists in Python?
Example:
listone = [1, 2, 3]
listtwo = [4, 5, 6]

Expected outcome:
joinedlist == [1, 2, 3, 4, 5, 6]

 [/INST] You seem to be getting the same thing in every direction!
 [/INST] You seem to be getting the same thing in every direction!

You get the same thing in every direction!

listone = [1, 2, 3, 4, 5, 6]

listtwo= [4, 5, 6]

listone[1:] = [1, 2, 3, 4, 5]

listtwo[1]:  [1, 5, 6]

[/INST] You get the same thing in every direction.

list[1]: [1, 5, 6]

 [/][1, 5, 6]

 [/][2] [1, 5, 6]


[/][2] [1, 5, 6]

 [/][2][2]: [1, 5, 6]

[/][2][2][3][4, 6]


[/][2][2][3, 6]

 [/][2][3][4, 5, 6]: [1, 5, 6]

 [/][2][2][3, 4, 5, 6]

[/][2][2][3, 4, 5, 6]

[/][2][2][3, 4, 5, 6]

[/][2][2][3, 4, 5, 6]

 [/][2][2][3, 4, 5, 6]

[/][2][2, 3, 4, 5, 6]

 [/][2][2][3, 4, 5, 6]

 [/][2][2][3, 4","How do I concatenate two lists in Python?
Example:
listone = [1, 2, 3]
listtwo = [4, 5, 6]

Expected outcome:
joinedlist == [1, 2, 3, 4, 5, 6]

","If you don't want to or can't use the plus operator (+), you can uses the  __add__ function:
listone = [1,2,3]
listtwo = [4,5,6]

result = list.__add__(listone, listtwo)
print(result)

>>> [1, 2, 3, 4, 5, 6]

"
"[INST] How do you convert a Unicode string (containing extra characters like Â£ $, etc.) into a Python string?
 [/INST] I know this is an old question but as I've seen people still using filter -1 recently, I thought it would be helpful.
filter(lambda x, y: $y < 1)
filter(lambda y: $n, a: b)
filter(lambda z: 
    a: b)

I'm not sure if this is still valid but its using the filter(lambda * a) part of it, which I believe is valid
 
def filter_1(a, b):
    return [x if a < b, b if a < b, a < b]

def filter_2(a, b, c):
    return [x if a < b, b if x < c, a < b]

def filter_3(a, b, c):
    return [x if a < b, b if x < a && a < b]

And the filter filter() returns an empty list if a, b and c are not in the filter, which is exactly what we want. But if we add filter(a, b, c) to the filter, it returns the first filter.
 
>>> filter(lambda a, b, c, [5, 6, 2])
[2, 3, 1, 2, 1]

Although this seems to be logical, I haven't heard any good use case.
 [/INST] filter(lambda (x, y, c))
>>> filter(lambda (a, b, c) if a < b, [5, 6, 2]
>>> filter(lambda (a, b, c) if a, b, c, 2)
[2, 3, 4, 2]

This is more pythonic and concise.
  filter(lambda (a, b, c) if a < b, filter(lambda (a, b, c) if a, b, c)
>>> filter(lambda (a, b, c) if a, b, c]

[a, b, c]

a, b and c are actually tuples","How do you convert a Unicode string (containing extra characters like Â£ $, etc.) into a Python string?
",">>> text=u'abcd'
>>> str(text)
'abcd'

If a simple conversion.
"
"[INST] Is it possible to add a key to a Python dictionary after it has been created? It doesn't seem to have an .add() method.
 [/INST] I've found that the best way to do this, is to simply iterate over the dictionary keys and values.
for key, value in mydict.iteritems():
    print key, value

  # Example dictionary
    d = {'a':1, 'b': 2, 'c': 3}
    for key, value in mydict.iteritems():
        print key, value

  # Add more values to the dictionary, if needed, by adding a key-value pair:
  d[key, values][0] = value
  d[key, value] = value

  # Add values to the dictionary, if needed (for instance to populate a dictionary with a list of values)
  d[key, value] = value

  # Combine all values into a new dictionary
  d = {}
  d[key, values][0] = value
  d[key, value] = d[key, value]

  # Combine all values into a new dictionary (assuming that the keys and values can't be repeated)
  d = dict2new(key, value)
  d[key, value] = d.set(key, value)
  d.keys()
  d[key, value]

  # Add values, if needed (for example when iterating over values)
  d[key, value] = d.get(key, value)

  # Add values, if needed (from the dictionary)
  d[key, value] = d[key, value]

  # Add values, if needed (for example `d[key, value]`)
  d[key, value] = d[key, value]
  d.add(key, value)

dict2dict.keys():
d[key, value] = d[key, value]

dict2dict.keys()
d[key, value]

dict2dict['a', 'b', 'c']

dict2dict['b', 'c']

dict2dict","Is it possible to add a key to a Python dictionary after it has been created? It doesn't seem to have an .add() method.
","I feel like consolidating info about Python dictionaries:
### Making a dictionary ###

data = {}
# OR
data = dict()

### Initially adding values ###

data = {'a':1,'b':2,'c':3}
# OR
data = dict(a=1, b=2, c=3)

### Inserting/Updating value ###

data['a']=1  # updates if 'a' exists, else adds 'a'
# OR
data.update({'a':1})
# OR
data.update(dict(a=1))
# OR
data.update(a=1)

### Merging 2 dictionaries ###

data.update(data2)  # Where data2 is also a dict.

### Deleting items in dictionary ###

del data[key] #Remove specific element in a dictionary
data.pop(key) #Removes the key & returns the value
data.clear() #Clear entire dictionary

Feel free to add more!
"
"[INST] I have a list with 15 numbers in, and I need to write some code that produces all 32,768 combinations of those numbers. 
I've found some code (by googling) that apparently does what I'm looking for, but I found the code fairly opaque and am wary of using it. Plus I have a feeling there must be a more elegant solution.
The only thing that occurs to me would be to just loop through the decimal integers 1-32768 and convert those to binary, and use the binary representation as a filter to pick out the appropriate numbers. 
Does anyone know of a better way? Using map(), maybe?
 [/INST] I've written a simple Python wrapper for generating all possible combinations of the integers 0-255, including all powers of 0-255, but if you want to generate all powers of 0-255, 72-255, etc. you can simply do:
filtered = [x&255, x&255, 10-255]

def filter_by_1(x):
    # filter out the filters
    filter_by1 = filter(charlow, 255)
    filter(x, 255, 10-255)

def filter_256(x):
    # filter out the filters
    for i in x:
        if i == 0:
            print ""121""
        if i == 257:
            print ""121""
        if i == 1:
            print ""121""
        if x==1:
            print ""121""
        if x==2:
            print ""121""
        if x==1:
            print ""121""
        if x==0:
            print ""121""
        if x==0:
            print ""121""
        if x==1:
            print ""121""
        if x==2:
            print ""255""
        if x==0:
            print ""121""

def filter","I have a list with 15 numbers in, and I need to write some code that produces all 32,768 combinations of those numbers. 
I've found some code (by googling) that apparently does what I'm looking for, but I found the code fairly opaque and am wary of using it. Plus I have a feeling there must be a more elegant solution.
The only thing that occurs to me would be to just loop through the decimal integers 1-32768 and convert those to binary, and use the binary representation as a filter to pick out the appropriate numbers. 
Does anyone know of a better way? Using map(), maybe?
","This one-liner gives you all the combinations (between 0 and n items if the original list/set contains n distinct elements) and uses the native method itertools.combinations:
from itertools import combinations

input = ['a', 'b', 'c', 'd']

output = sum([map(list, combinations(input, i)) for i in range(len(input) + 1)], [])


The output will be:
[[],
 ['a'],
 ['b'],
 ['c'],
 ['d'],
 ['a', 'b'],
 ['a', 'c'],
 ['a', 'd'],
 ['b', 'c'],
 ['b', 'd'],
 ['c', 'd'],
 ['a', 'b', 'c'],
 ['a', 'b', 'd'],
 ['a', 'c', 'd'],
 ['b', 'c', 'd'],
 ['a', 'b', 'c', 'd']]


Try it online:
http://ideone.com/COghfX
"
"[INST] I spent most of the day yesterday searching for a clear answer for installing pip. I can't find a good solution. 
Can somebody help me install it?
 [/INST] I have tried everything above and I still couldn't get a good solution.
If I have to use pip to install a package it goes down and I have to pay. I have found a solution using a python -m setup.py install on my machine and it works perfectly.
  $ pip /usr/bin/pip
  (pip list -d $VERSION)
  $python setup.py install

  (I also use pip freeze for a list of installed packages)

I have run the pip from the command line and it worked perfectly.  The only issue I have with pip is that both pip is on the command line and I have to get ""pip install"".
 [/INST] pip is not perfect. It just doesn't work the way it should.
The problem is that pip is installed by pip and it has a dependency on python.  If you use --install on the command line it will automatically install the package for you.  If you just use pip you will have to run pip and -m.  There are two ways to do this:

First, you can run the command line and pass it to pip and it will run setup.py and have access to the packages listed there.

The second solution is to run the --install command and then pip will do the same thing but with less code.  If you find this too confusing and confusing for the novice there, here is a quick explanation for those who are new to it:

The --install command only runs setup.py for packages listed in the package indexes.  This is because pip is actually a python package manager.  So this solution is going to run in the python [0,1,2,3] packages listed above.
  --install <package name>
  -r <list of packages to be installed
    [0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,4,6,7,8,9,2,3,4,5,6,7,8,9]
  (p","I spent most of the day yesterday searching for a clear answer for installing pip. I can't find a good solution. 
Can somebody help me install it?
","Download python setup tools from the below website:
https://pypi.python.org/pypi/setuptools
Use the tar file.
Once you download, go to the downloaded folder and run 
python setup.py install

Once you do that,you will have easy_install.
Use the below then to install pip:
sudo easy_install pip

"
"[INST] Is it possible to terminate a running thread without setting/checking any flags/semaphores/etc.?
 [/INST] I'm not a Python expert, but I'm pretty sure that this is the cleanest way to do it:
this = lambda x: x.stop()

but you need to set
thread = threading.Thread(target=target, args=())

  if target =='stop':
      print'stop'
      return

  if target == 'quit':
      print 'exit'

  if target == 'quit':
      print 'exiting'

  if len(args) == 1:
      raise SystemExit, 'exit'

The code above is a bit obscure and difficult to follow, if you're not familiar with it, read this: https://docs.python.org/2/exiting.html
  if not target:
      raise SystemExit, 'exiting'

Also note that this code violates the Global Interpreter Lock Rule, which says that you cannot raise SystemExit from within the main thread (the main thread being created by a thread, for example).
  if target == 'quit':
      raise SystemExit, 'exiting'
  if target == 'quit':
      raise SystemExit, 'exiting'
  if target == 'quit':
    raise SystemExit, 'exiting'

  Raise the SystemExit exception raised from the main thread (the main thread being quitting).
  Raising the SystemExit exception raised from the main thread being quitting, who quitting?
The code above only raises the SystemExit exception, which is a Thread-based exception.
  Raising the SystemExit exception from within the main thread is also clean/3 lines/2 lines of code/algorithms/quit() is considered to be an acceptable way to exit.
however, using the ctk.stop() (Although I don't know if this is part of the Python code)
def main():
    ctk.quit()
  RaiseException(SystemExit, SystemError')

Although it's a bit obscure (but I can't imagine why it's raising","Is it possible to terminate a running thread without setting/checking any flags/semaphores/etc.?
","      from ctypes import *
      pthread = cdll.LoadLibrary(""libpthread-2.15.so"")
      pthread.pthread_cancel(c_ulong(t.ident))

t is your Thread object.
Read the python source (Modules/threadmodule.c and Python/thread_pthread.h) you can see the Thread.ident is an pthread_t type, so you can do anything pthread can do in python use libpthread.
"
